id,zlato,srebro,bron
9194,0,0,0
2378,0,0,0
193,0,0,1
13127,0,0,0
222,0,0,0
6913,0,0,0
9393,0,0,0
9443,0,0,0
3278,0,0,1
9283,0,0,0
2479,0,0,0
19203,0,0,0
18044,0,0,0
586,0,0,0
2372,0,0,0
12579,0,0,0
264,0,0,0
1245,0,0,0
6653,0,0,0
698,0,0,0
3726,1,0,1
2720,0,0,0
4223,0,0,0
6978,0,0,0
2338,0,0,0
2778,0,0,0
30959,0,0,0
2911,0,0,0
1038,0,0,0
13809,0,0,0
2618,0,0,2
438,1,0,0
1261,0,0,0
8973,0,0,0
12448,0,0,0
14013,0,0,0
15186,0,0,0
3712,0,1,0
12678,0,0,0
689,0,0,2
6846,0,0,0
655,0,0,0
16095,0,0,0
46,0,1,0
9904,0,0,0
457,0,0,0
7063,0,0,0
1351,1,0,0
9344,0,0,1
712,0,0,0
534,0,0,0
3637,0,0,0
2404,0,0,0
10388,0,0,0
1526,0,1,1
1709,0,0,0
665,0,1,0
12580,0,0,1
3364,0,0,0
2393,0,0,0
10436,0,0,0
1336,1,0,0
7547,0,0,0
15965,0,0,0
196,0,0,0
1521,0,0,0
13854,0,0,0
1355,0,0,0
7588,0,0,0
4435,0,0,0
471,0,0,0
25987,0,0,0
9383,0,0,0
2046,0,0,0
240,0,1,0
1684,0,0,0
450,0,0,0
470,0,0,0
9118,0,0,1
10855,0,0,0
3820,0,0,0
2216,0,0,1
1841,0,0,1
2746,0,0,0
1274,0,0,1
9301,0,0,0
326,0,0,1
1986,0,0,0
2394,0,0,1
656,0,0,0
1335,0,0,1
654,0,0,0
3435,0,0,0
288,0,0,0
1727,0,0,0
1239,0,0,0
69,0,0,0
16596,0,0,0
2716,0,0,0
16633,0,0,0
2491,0,0,1
34278,0,0,0
11713,0,0,0
23288,0,0,0
2114,0,0,1
367,0,0,0
751,0,0,0
3002,0,0,0
560,0,0,0
26373,0,0,0
9361,0,0,0
2968,0,0,0
11708,0,0,0
7009,0,0,0
12564,0,0,0
1012,0,0,0
