id,ime,drzava,tocke
7156,ALVARADO Frank,PER,1
9604,SENUSI Mohamed,LBA,1
12630,WICKRAMAGE Jeewantha,SRI,1
13410,NATO Elvis,KEN,1
15680,ZAHOMO Lezaho franck patrick,CIV,1
22649,SAHI Jaswinder singh,IND,1
23132,NYAORA Geofrey,KEN,1
23283,ALRASHED Hamad,KUW,1
23287,NIEMKUNCHON Sitthipong,THA,1
23934,MAHAMADOU Abdoulaye,NIG,1
4036,KIM Won jin,KOR,2310
9194,SAFAROV Orkhan,AZE,2168
3712,SMETOV Yeldos,KAZ,1853
9118,UROZBOEV Diyorbek,UZB,1782
9344,TAKATO Naohisa,JPN,1768
1937,MUDRANOV Beslan,RUS,1724
2736,DASHDAVAA Amartuvshin,MGL,1666
4143,LIMARE Vincent,FRA,1399
185,GANBAT Boldbaatar,MGL,1393
9293,LUTFILLAEV Sharafuddin,UZB,1350
2130,PAPINASHVILI Amiran,GEO,1334
3272,SHISHIME Toru,JPN,1240
9099,IBRAYEV Rustam,KAZ,1238
1037,MUSHKIYEV Ilgar,AZE,1211
2072,KITADAI Felipe,BRA,1149
19202,OZLU Bekir,TUR,1076
10874,TAKABATAKE Eric,BRA,1036
7613,KHYAR Walide,FRA,1028
7348,OSHIMA Yuma,JPN,960
425,DAVTYAN Hovhannes,ARM,940
86,MCKENZIE Ashley,GBR,810
13854,TSEND-OCHIR Tsogtbaatar,MGL,786
19015,BESTAEV Otar,KGZ,727
12339,KATZ Joshua,AUS,694
1812,MOOREN Jeroen,NED,652
231,CHAMMARTIN Ludovic,SUI,616
607,PETRIKOV Pavel,CZE,606
1729,ENGLMAIER Tobias,GER,600
10992,PRECIADO Lenin,ECU,590
124,PESSOA Sergio,CAN,582
7921,MANZI Elios,ITA,558
13770,ABELRAHMAN Ahmed,EGY,546
2296,TRBOVC Matjaz,SLO,534
4019,KIDO Shinji,JPN,530
2725,KABA Ahmet sahin,TUR,523
14391,OGUZOV Albert,RUS,520
9365,GARRIGOS Francisco,ESP,508
12042,IMASHEV Aibek,KAZ,485
3707,GANBOLD Kherlen,MGL,473
4119,POSTIGOS Juan,PER,472
2757,MSHVIDOBADZE Robert,RUS,468
218,PAISCHER Ludwig,AUT,466
2928,GERCHEV Yanislav,BUL,449
3242,GOMIS Joaquin,ESP,426
7547,TSAI Ming yen,TPE,412
15116,CHKHVIMIANI Lukhumi,GEO,395
14832,MANQUEST Vincent,FRA,388
14726,MAMMADSOY Davud,AZE,386
1765,SHIRINLI Vugar,AZE,380
14011,BAGIROV Arif,BLR,365
9376,REVOL Cedric,FRA,362
7184,CARVALHO Nuno,POR,347
1894,MILOUS Sofiane,FRA,338
1807,AN Jianqi,CHN,327
4180,MOUDATIR Yassine,MAR,327
28720,AOKI Dai,JPN,302
3049,ELKAWISAH Mohamed Elhadi,LBA,300
7350,NAGAYAMA Ryuju,JPN,300
32448,TILOVOV Mukhriddin,UZB,300
43,KUNIHIRO Aaron,USA,292
1432,ARSHANSKI Artiom,ISR,288
2210,REINVALL Juho,FIN,288
1582,DHOUIBI Fraj,TUN,277
4733,TELMANOV Askhat,KAZ,258
11767,DI LORETO Carmine maria,ITA,242
2536,PELIM Phelipe,BRA,240
7385,WYNS Senne,BEL,232
4492,GUEDEZ Javier,VEN,228
8045,DIAZ Adonis,USA,220
7144,BIRBRIER Hernan,ARG,214
7620,ZAMANOV Elbrus,AZE,208
2997,CASTILLO Nabor,MEX,202
11986,GRAF Philip,GER,196
9253,KULIKOV Dmitriy,RUS,184
3769,NASANJARGAL Ser-od,MGL,180
3175,MAJRASHI Eisa,KSA,178
13806,TORRES MARIMON Yandry,CUB,172
14947,CHOI In hyuk,KOR,167
17902,RABAHI Salim,ALG,160
16233,TSALA TSALA Bernadin,CMR,158
13615,ZHAUYNTAYEV Bauyrzhan,KAZ,156
4608,BILICHENKO Denys,UKR,145
10865,RAMOS Jose,GUA,140
11400,ZIADE Damien,LIB,138
2245,YU Kin ting,HKG,138
17358,YASHUEV Islam,RUS,135
3871,RAHIMA Alon,ISR,132
8668,GNAHOUI Jacob,BEN,131
18939,GOULET Sylvain,FRA,124
21686,JAFY Mohamed,MAR,122
15114,SHAN Yvan,PYF,122
2778,SICCARDI Yann,MON,121
9357,VALIZADA Oruj,AZE,112
996,KHOUSROF Ali,YEM,105
9790,GADZHIEV Sakhavat,RUS,100
17099,CARVALHO Vitor,BRA,100
13074,PATINO VILLAGRA Michael,PER,98
13271,KAWANO Ryoya,JPN,90
11828,RAYMOND Adrien,FRA,90
6851,PEDRO Nayr garcia,ANG,84
22361,MULLER Clement,NCL,80
3801,GRIGORYAN Aram,RUS,78
17472,LOMBARDO Daniel,ITA,78
14574,GANBAATAR Battulga,MGL,76
12563,REBAHI Mohamed,ALG,74
16336,ALLASSANE Moctar,NIG,72
28326,KHERTEK Sayan,RUS,70
26668,KIM Channyeong,KOR,64
15772,MONGUSH Albert,RUS,62
20764,MAMMADOV Tofig,AZE,60
22791,KUPATADZE Irakli,GEO,60
3355,ROMERO Andres,ESP,60
10450,CALLE Dilmer,PER,60
34322,MIYAMOTO Takumi,JPN,60
3557,SHEMESH Yoav,ISR,58
15971,KYRGYZBAYEV Gumar,KAZ,56
14727,SADIGOV Mehman,AZE,54
18089,LEBOEDEC Victor,FRA,54
18021,TSJAKADOEA Tornike,NED,52
15073,LI Hui,CHN,51
14805,BARTHA Akos,HUN,51
3321,KUWABARA Allan,BRA,50
12252,MONTERO Abel,DOM,50
3498,SCHMIT Tom,LUX,49
20483,NASSERI POUR Nasser,IRI,49
16633,YACOUB Simon,PLE,48
14896,SEIDUALY Assylzhan,KAZ,48
2743,HUYNH Nhat Thong,VIE,48
14851,ALHASSANE Ismael,NIG,48
30958,DRABO Kalifara,BUR,48
18068,KOFFIJBERG Bas,NED,48
14788,ROWE Lucas,GBR,48
15044,LAURENT Pascal,MRI,46
22576,RAMOS Cesar,MEX,46
13363,MACDONALD Neil,GBR,46
13852,BAYARAA Amartuvshin,MGL,43
9391,MANSINHO Goncalo,POR,42
3314,PULKRABEK David,CZE,41
12431,DIOUF Omar,SEN,40
14593,RAHIER Antoine,NZL,40
16588,ALVAREZ Yasier,USA,40
24667,FERGUSON David,GBR,40
25316,MEJIA HOLGADO Yerson,PER,40
26441,GALVAN Jose luis,ARG,40
34395,KIM Hyojun,KOR,40
7290,SANTOS Diego,BRA,40
27218,VERGNES Richard,FRA,40
3194,YOUSSEF Youssef,CAN,40
13175,YADAV Vijay kumar,IND,38
16451,KYRGYZBAYEV Gusman,KAZ,38
3457,LI Jiahong,CHN,37
12807,ALMENARES Roberto,CUB,37
13545,BEGLARASHVILI Robinzon,GEO,36
9506,QUERTINMONT Adrien,BEL,34
1616,KIELBASINSKI Lukasz,POL,33
27710,AN Jae yong,PRK,32
1704,IVANYAN Grigor,ARM,32
1361,KLOKOV Andrej,LTU,32
11061,MOGOPA Gavin,BOT,32
16374,MOYI MADZONO Francis grace,CGO,32
237,BURJAN Laszlo,HUN,31
12220,DIBARTOLO Nicolas,CAN,30
25449,OLIVEIRA HENRIQUES Luiz filipe,BRA,30
10730,CHAN LING Janeiro,MAD,29
14452,BAKYTBEK UULU Argen,KGZ,26
13673,BEN DAVID Daniel,ISR,26
17338,KIM Jaehyeon,KOR,26
14486,FERARIU Alex,ROU,24
10799,MOLINA Julio,GUA,24
12355,DAVIDS Preston,RSA,24
23501,KHUSRAVOV Khushkadam,TJK,24
13352,IVANOV Denislav,BUL,24
11833,MOHAMEDI Kamel,FRA,24
16043,ALMAMMADOV Rasim,AZE,22
15194,KLIMAU Maksim,BLR,22
1356,HUANG Sheng-ting,TPE,21
10933,MELITA Nehuen,ARG,21
1945,JANG Jin-min,KOR,20
11156,INOYATOV Bakhrom,UZB,20
13366,PANTANO Angelo,ITA,20
14426,WALA Adrian,POL,20
15966,LE GRANGE Daniel,RSA,20
17525,NOH Youncheol,KOR,20
25629,CAMPOS Carlos,ESA,20
26013,JU Sangeok,KOR,20
30717,HERRERA Juan,CHI,20
30762,ALVARADO Joaquin,CHI,20
3356,SAGARZAZU Iokin,ESP,20
3440,LAZEA Amado,ROU,19
15330,NUNEZ RODRIGUEZ Justo,ESP,18
2911,SIGAUQUE Neuso,MOZ,16
12086,SZABO Csaba,HUN,16
6608,IRAWAN Toni,INA,16
11297,ISSA SANI Ibrahim,CHA,16
32248,MANQUEST Florent,FRA,16
34580,YANG Chun-ting,TPE,16
14362,LAU Tung,HKG,15
7617,MAHARRAMOV Sadig,AZE,14
14888,NIKCEVIC Vuk,MNE,14
4610,ANDREOLI Fabio,ITA,14
7589,PNG Kai,AUS,12
8615,GOMEZ Nicolas,ARG,12
8617,PARDO Leandro,ARG,12
9162,LEE Yuk ting,HKG,12
12851,AYARI Mohamed amine,TUN,12
13038,BASSOU Issam,MAR,12
17331,ALMOG Assaf,ISR,12
17523,JONES Luke,AUS,12
18436,LOMBARDO Manuel,ITA,12
22798,SHUBITIDZE Ilia,GEO,12
23096,SHAMSHADIN Magzhan,KAZ,12
27243,LAU Martin,HKG,12
29671,CAMPOS Samuel,BRA,12
17366,ILLYTCHUK Mykhailo,UKR,12
19462,ONUFRIEV Joerg,GER,12
9151,HWANG Dong kyu,KOR,11
7601,ALIPIEV Valentin,BUL,10
12415,BIKO Luthando,RSA,10
17256,CHIU Jui hua,TPE,10
17526,JANG Seokyun,KOR,10
3724,BROLASHVILI Giorgi,GEO,9
16164,CHEN Yen-lun,TPE,9
17896,PENTKA Marek,SVK,8
